Station,Location,State,Year,ADT,rank
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2015,16736,41.0
AR 204,Ipoh-Lumut,Perak,2015,26494,22.0
AR 301,Ipoh-Kampar,Perak,2015,30592,17.0
AR 303,Sitiawan-Gopeng,Perak,2015,78136,6.0
AR 501,Ipoh-Kuala Kangsar,Perak,2015,19895,32.0
AR 601,Ipoh-Butterworth,Perak,2015,20664,31.0
AR 603,Sitiawan-Taiping,Perak,2015,12949,50.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2015,27249,21.0
AR 801,Kuala Kangsar-Baling,Perak,2015,3139,74.0
AR 803,Lebuhraya Timur-Barat,Perak,2015,3293,73.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2015,49706,10.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2015,131348,2.0
BR 203,Klang-Morib-Batu Laut,Selangor,2015,7890,63.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2015,21611,28.0
BR 501,Klang-Sabak Bernam,Selangor,2015,20838,29.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2015,48737,11.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2015,15538,46.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2015,129579,3.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2015,15702,45.0
CR 403,Kuantan-Maran,Pahang,2015,29856,18.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2015,20827,30.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2015,8063,61.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2015,10741,58.0
CR 801,Kuantan-Karak,Pahang,2015,14874,47.0
CR 805,Kuantan-Maran,Pahang,2015,6369,66.0
CR 902,Kuantan-Segamat,Pahang,2015,9985,59.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2015,39257,14.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2015,4718,69.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2015,23345,27.0
JR 102,Batu Pahat-Muar,Johor,2015,17176,38.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2015,16282,42.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2015,11985,55.0
JR 204,Jalan Skudai,Johor,2015,108858,5.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2015,29045,19.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2015,17359,36.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2015,41632,13.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2015,19745,34.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2015,14672,49.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2015,2656,76.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2015,15945,43.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2015,17751,35.0
KR 202,Alor Star-Jitra,Kedah,2015,36660,15.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2015,24779,24.0
KR 501,Alor Setar-Sungai Petani,Kedah,2015,19854,33.0
MR 206,Jalan Melaka-Muar,Melaka,2015,17182,37.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2015,16885,40.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2015,16916,39.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2015,57613,9.0
NR 403,Seremban-Tampin,Negeri Sembilan,2015,12465,52.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2015,11870,56.0
NR 505,Seremban-Gemas,Negeri Sembilan,2015,47976,12.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2015,65716,7.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2015,24774,25.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2015,62464,8.0
RR 106,Kangar-Alor Star,Perlis,2015,14707,48.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2015,23584,26.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2015,28171,20.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2015,4105,70.0
TR 402,K. Terengganu-Marang,Terengganu,2015,24887,23.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2015,9561,60.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2015,111097,4.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2015,211188,1.0
HR 103,KK-Sepulut Highway,Sabah,2015,2792,75.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2015,2299,78.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2015,15786,44.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2015,4105,71.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2015,12388,53.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2015,11508,57.0
HR 504,Sg. Segama Crossing,Sabah,2015,6335,67.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2015,2310,77.0
HR 507,Kunak-Lahad Datu,Sabah,2015,6700,65.0
SR 101,Bau-Semantan,Sarawak,2015,4090,72.0
SR 103,Kuching-Serian,Sarawak,2015,34874,16.0
SR 401,Bintulu-Sibu,Sarawak,2015,5841,68.0
SR 402,Bintulu-Miri,Sarawak,2015,7452,64.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2015,12329,54.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2015,12807,51.0
SR 504,Lawas-Trusan,Sarawak,2015,7912,62.0
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2016,15187,48.0
AR 204,Ipoh-Lumut,Perak,2016,25939,21.0
AR 301,Ipoh-Kampar,Perak,2016,24654,24.0
AR 303,Sitiawan-Gopeng,Perak,2016,77483,6.0
AR 501,Ipoh-Kuala Kangsar,Perak,2016,19936,32.0
AR 601,Ipoh-Butterworth,Perak,2016,21327,31.0
AR 603,Sitiawan-Taiping,Perak,2016,13919,50.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2016,33024,18.0
AR 801,Kuala Kangsar-Baling,Perak,2016,3017,77.0
AR 803,Lebuhraya Timur-Barat,Perak,2016,3818,73.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2016,47687,11.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2016,128988,3.0
BR 203,Klang-Morib-Batu Laut,Selangor,2016,7999,64.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2016,22277,28.0
BR 501,Klang-Sabak Bernam,Selangor,2016,24554,25.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2016,48199,10.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2016,16063,41.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2016,138711,2.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2016,16291,40.0
CR 403,Kuantan-Maran,Pahang,2016,30231,19.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2016,24850,23.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2016,8757,62.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2016,11620,56.0
CR 801,Kuantan-Karak,Pahang,2016,15730,44.0
CR 805,Kuantan-Maran,Pahang,2016,6841,68.0
CR 902,Kuantan-Segamat,Pahang,2016,10514,58.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2016,28405,20.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2016,6344,69.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2016,21969,29.0
JR 102,Batu Pahat-Muar,Johor,2016,18177,36.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2016,14554,49.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2016,9733,59.0
JR 204,Jalan Skudai,Johor,2016,110498,5.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2016,43134,12.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2016,17598,37.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2016,41936,13.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2016,18984,34.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2016,15336,46.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2016,4969,71.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2016,16690,39.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2016,15954,43.0
KR 202,Alor Star-Jitra,Kedah,2016,38036,15.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2016,21656,30.0
KR 501,Alor Setar-Sungai Petani,Kedah,2016,18221,35.0
MR 206,Jalan Melaka-Muar,Melaka,2016,15640,45.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2016,19662,33.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2016,17439,38.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2016,41295,14.0
NR 403,Seremban-Tampin,Negeri Sembilan,2016,12737,53.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2016,10984,57.0
NR 505,Seremban-Gemas,Negeri Sembilan,2016,48966,9.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2016,59320,7.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2016,23255,26.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2016,56678,8.0
RR 106,Kangar-Alor Star,Perlis,2016,15279,47.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2016,22605,27.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2016,24852,22.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2016,3992,72.0
TR 402,K. Terengganu-Marang,Terengganu,2016,34408,17.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2016,9047,61.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2016,122688,4.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2016,169218,1.0
HR 103,KK-Sepulut Highway,Sabah,2016,2782,78.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2016,6943,67.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2016,15999,42.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2016,3351,76.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2016,13887,51.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2016,11694,55.0
HR 504,Sg. Segama Crossing,Sabah,2016,7412,66.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2016,3609,74.0
HR 507,Kunak-Lahad Datu,Sabah,2016,8169,63.0
SR 101,Bau-Semantan,Sarawak,2016,3429,75.0
SR 103,Kuching-Serian,Sarawak,2016,34950,16.0
SR 401,Bintulu-Sibu,Sarawak,2016,5563,70.0
SR 402,Bintulu-Miri,Sarawak,2016,7428,65.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2016,9092,60.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2016,13245,52.0
SR 504,Lawas-Trusan,Sarawak,2016,11701,54.0
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2017,14913,48.0
AR 204,Ipoh-Lumut,Perak,2017,27384,21.0
AR 301,Ipoh-Kampar,Perak,2017,29911,20.0
AR 303,Sitiawan-Gopeng,Perak,2017,87006,6.0
AR 501,Ipoh-Kuala Kangsar,Perak,2017,20443,33.0
AR 601,Ipoh-Butterworth,Perak,2017,19058,34.0
AR 603,Sitiawan-Taiping,Perak,2017,9227,61.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2017,26218,22.0
AR 801,Kuala Kangsar-Baling,Perak,2017,2798,77.0
AR 803,Lebuhraya Timur-Barat,Perak,2017,3923,75.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2017,47521,12.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2017,101893,5.0
BR 203,Klang-Morib-Batu Laut,Selangor,2017,5903,68.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2017,21568,29.0
BR 501,Klang-Sabak Bernam,Selangor,2017,21642,28.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2017,46607,13.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2017,13476,50.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2017,153545,1.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2017,18843,35.0
CR 403,Kuantan-Maran,Pahang,2017,33247,18.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2017,30052,19.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2017,8302,63.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2017,11606,54.0
CR 801,Kuantan-Karak,Pahang,2017,16731,40.0
CR 805,Kuantan-Maran,Pahang,2017,6915,65.0
CR 902,Kuantan-Segamat,Pahang,2017,10416,57.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2017,65518,7.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2017,6300,67.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2017,22160,26.0
JR 102,Batu Pahat-Muar,Johor,2017,23564,23.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2017,15723,44.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2017,11199,56.0
JR 204,Jalan Skudai,Johor,2017,145079,2.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2017,42306,15.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2017,20602,32.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2017,43771,14.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2017,17601,39.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2017,15599,46.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2017,4349,72.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2017,13050,52.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2017,16518,41.0
KR 202,Alor Star-Jitra,Kedah,2017,39669,16.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2017,20749,31.0
KR 501,Alor Setar-Sungai Petani,Kedah,2017,17748,38.0
MR 206,Jalan Melaka-Muar,Melaka,2017,16329,42.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2017,17780,37.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2017,18320,36.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2017,48851,11.0
NR 403,Seremban-Tampin,Negeri Sembilan,2017,13415,51.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2017,11314,55.0
NR 505,Seremban-Gemas,Negeri Sembilan,2017,49199,10.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2017,52095,9.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2017,22006,27.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2017,61819,8.0
RR 106,Kangar-Alor Star,Perlis,2017,14351,49.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2017,21136,30.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2017,23209,24.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2017,4268,74.0
TR 402,K. Terengganu-Marang,Terengganu,2017,35427,17.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2017,10410,58.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2017,103024,4.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2017,138477,3.0
HR 103,KK-Sepulut Highway,Sabah,2017,3137,76.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2017,5618,70.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2017,15892,43.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2017,4307,73.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2017,15654,45.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2017,12649,53.0
HR 504,Sg. Segama Crossing,Sabah,2017,6832,66.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2017,2689,78.0
HR 507,Kunak-Lahad Datu,Sabah,2017,8389,62.0
SR 101,Bau-Semantan,Sarawak,2017,5138,71.0
SR 103,Kuching-Serian,Sarawak,2017,22171,25.0
SR 401,Bintulu-Sibu,Sarawak,2017,5685,69.0
SR 402,Bintulu-Miri,Sarawak,2017,8000,64.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2017,9861,59.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2017,15221,47.0
SR 504,Lawas-Trusan,Sarawak,2017,9640,60.0
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2018,15068,47.0
AR 204,Ipoh-Lumut,Perak,2018,28011,21.0
AR 301,Ipoh-Kampar,Perak,2018,30321,20.0
AR 303,Sitiawan-Gopeng,Perak,2018,87711,6.0
AR 501,Ipoh-Kuala Kangsar,Perak,2018,20571,33.0
AR 601,Ipoh-Butterworth,Perak,2018,20270,34.0
AR 603,Sitiawan-Taiping,Perak,2018,9449,61.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2018,26687,22.0
AR 801,Kuala Kangsar-Baling,Perak,2018,2872,77.0
AR 803,Lebuhraya Timur-Barat,Perak,2018,4028,75.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2018,47425,12.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2018,100568,4.0
BR 203,Klang-Morib-Batu Laut,Selangor,2018,5930,68.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2018,21697,29.0
BR 501,Klang-Sabak Bernam,Selangor,2018,22118,28.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2018,45441,13.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2018,13626,50.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2018,153914,1.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2018,19144,35.0
CR 403,Kuantan-Maran,Pahang,2018,34204,18.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2018,30768,19.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2018,8595,63.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2018,12370,54.0
CR 801,Kuantan-Karak,Pahang,2018,17493,39.0
CR 805,Kuantan-Maran,Pahang,2018,7061,65.0
CR 902,Kuantan-Segamat,Pahang,2018,10651,57.0
