Station,Location,State,Year,ADT,rank
PR 116,Butterworth-Ipoh,Pulau Pinang,2021,34453,9.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2021,16432,22.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2021,41317,8.0
RR 106,Kangar-Alor Star,Perlis,2021,11832,38.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2021,14946,28.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2021,16848,21.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2021,3091,76.0
TR 402,K. Terengganu-Marang,Terengganu,2021,25665,15.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2021,8412,52.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2021,51360,4.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2021,76646,1.0
HR 103,KK-Sepulut Highway,Sabah,2021,3695,69.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2021,3523,73.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2021,12212,37.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2021,3755,68.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2021,11496,40.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2021,9842,44.0
HR 504,Sg. Segama Crossing,Sabah,2021,5396,60.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2021,3126,75.0
HR 507,Kunak-Lahad Datu,Sabah,2021,5712,59.0
SR 101,Bau-Semantan,Sarawak,2021,3560,72.0
SR 103,Kuching-Serian,Sarawak,2021,31432,12.0
SR 401,Bintulu-Sibu,Sarawak,2021,3679,70.0
SR 402,Bintulu-Miri,Sarawak,2021,5388,61.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2021,8639,51.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2021,4194,66.0
SR 504,Lawas-Trusan,Sarawak,2021,6830,55.0
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2022,17493,37.0
AR 204,Ipoh-Lumut,Perak,2022,18768,34.0
AR 301,Ipoh-Kampar,Perak,2022,23087,27.0
AR 303,Sitiawan-Gopeng,Perak,2022,72260,6.0
AR 501,Ipoh-Kuala Kangsar,Perak,2022,20996,31.0
AR 601,Ipoh-Butterworth,Perak,2022,21075,30.0
AR 603,Sitiawan-Taiping,Perak,2022,3859,76.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2022,19911,33.0
AR 801,Kuala Kangsar-Baling,Perak,2022,6928,67.0
AR 803,Lebuhraya Timur-Barat,Perak,2022,3274,77.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2022,59939,8.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2022,125243,3.0
BR 203,Klang-Morib-Batu Laut,Selangor,2022,7468,64.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2022,27697,22.0
BR 501,Klang-Sabak Bernam,Selangor,2022,25033,25.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2022,49206,10.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2022,15044,47.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2022,163197,1.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2022,22964,28.0
CR 403,Kuantan-Maran,Pahang,2022,30590,18.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2022,18086,35.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2022,11135,53.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2022,10389,54.0
CR 801,Kuantan-Karak,Pahang,2022,13867,48.0
CR 805,Kuantan-Maran,Pahang,2022,7603,63.0
CR 902,Kuantan-Segamat,Pahang,2022,8622,60.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2022,29440,19.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2022,8630,59.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2022,25258,24.0
JR 102,Batu Pahat-Muar,Johor,2022,28202,21.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2022,20931,32.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2022,13508,49.0
JR 204,Jalan Skudai,Johor,2022,96421,5.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2022,36760,14.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2022,16181,40.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2022,32134,17.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2022,24661,26.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2022,9347,56.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2022,5400,71.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2022,22454,29.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2022,7644,62.0
KR 202,Alor Star-Jitra,Kedah,2022,44623,12.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2022,16413,39.0
KR 501,Alor Setar-Sungai Petani,Kedah,2022,16577,38.0
MR 206,Jalan Melaka-Muar,Melaka,2022,17547,36.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2022,15481,43.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2022,26338,23.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2022,12860,50.0
NR 403,Seremban-Tampin,Negeri Sembilan,2022,15466,45.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2022,9901,55.0
NR 505,Seremban-Gemas,Negeri Sembilan,2022,58212,9.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2022,46194,11.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2022,33790,16.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2022,61173,7.0
RR 106,Kangar-Alor Star,Perlis,2022,15481,44.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2022,15580,42.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2022,28498,20.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2022,4941,73.0
TR 402,K. Terengganu-Marang,Terengganu,2022,34818,15.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2022,11208,52.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2022,110491,4.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2022,159348,2.0
HR 103,KK-Sepulut Highway,Sabah,2022,4889,74.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2022,5135,72.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2022,7012,65.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2022,4812,75.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2022,15961,41.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2022,15095,46.0
HR 504,Sg. Segama Crossing,Sabah,2022,6992,66.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2022,7843,61.0
HR 507,Kunak-Lahad Datu,Sabah,2022,9298,57.0
SR 101,Bau-Semantan,Sarawak,2022,1269,78.0
SR 103,Kuching-Serian,Sarawak,2022,42034,13.0
SR 401,Bintulu-Sibu,Sarawak,2022,6788,68.0
SR 402,Bintulu-Miri,Sarawak,2022,12405,51.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2022,6221,70.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2022,6776,69.0
SR 504,Lawas-Trusan,Sarawak,2022,8948,58.0
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2023,16388,39.0
AR 204,Ipoh-Lumut,Perak,2023,18626,32.0
AR 301,Ipoh-Kampar,Perak,2023,25196,24.0
AR 303,Sitiawan-Gopeng,Perak,2023,67164,7.0
AR 501,Ipoh-Kuala Kangsar,Perak,2023,21334,29.0
AR 601,Ipoh-Butterworth,Perak,2023,19938,30.0
AR 603,Sitiawan-Taiping,Perak,2023,4408,75.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2023,15646,43.0
AR 801,Kuala Kangsar-Baling,Perak,2023,13076,47.0
AR 803,Lebuhraya Timur-Barat,Perak,2023,4793,73.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2023,58077,8.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2023,100254,3.0
BR 203,Klang-Morib-Batu Laut,Selangor,2023,6045,68.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2023,26544,22.0
BR 501,Klang-Sabak Bernam,Selangor,2023,24840,25.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2023,54450,10.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2023,13307,45.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2023,128296,2.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2023,19632,31.0
CR 403,Kuantan-Maran,Pahang,2023,35096,14.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2023,22202,28.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2023,10021,57.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2023,9010,58.0
CR 801,Kuantan-Karak,Pahang,2023,17145,36.0
CR 805,Kuantan-Maran,Pahang,2023,7568,64.0
CR 902,Kuantan-Segamat,Pahang,2023,12312,50.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2023,34303,16.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2023,5948,69.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2023,24769,26.0
JR 102,Batu Pahat-Muar,Johor,2023,18195,34.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2023,30760,19.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2023,10695,54.0
JR 204,Jalan Skudai,Johor,2023,91208,4.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2023,34944,15.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2023,16405,38.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2023,25543,23.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2023,28148,21.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2023,15716,42.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2023,4820,72.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2023,10651,55.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2023,8661,59.0
KR 202,Alor Star-Jitra,Kedah,2023,36444,12.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2023,18092,35.0
KR 501,Alor Setar-Sungai Petani,Kedah,2023,11068,52.0
MR 206,Jalan Melaka-Muar,Melaka,2023,16424,37.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2023,13218,46.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2023,23837,27.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2023,12483,49.0
NR 403,Seremban-Tampin,Negeri Sembilan,2023,18314,33.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2023,8430,61.0
NR 505,Seremban-Gemas,Negeri Sembilan,2023,56809,9.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2023,41802,11.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2023,31960,18.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2023,67932,6.0
RR 106,Kangar-Alor Star,Perlis,2023,15844,41.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2023,15165,44.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2023,28857,20.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2023,4042,78.0
TR 402,K. Terengganu-Marang,Terengganu,2023,36220,13.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2023,7893,63.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2023,83194,5.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2023,156093,1.0
HR 103,KK-Sepulut Highway,Sabah,2023,6256,67.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2023,4243,77.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2023,5946,70.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2023,4336,76.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2023,12648,48.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2023,15988,40.0
HR 504,Sg. Segama Crossing,Sabah,2023,8182,62.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2023,8449,60.0
HR 507,Kunak-Lahad Datu,Sabah,2023,10964,53.0
SR 101,Bau-Semantan,Sarawak,2023,4570,74.0
SR 103,Kuching-Serian,Sarawak,2023,34105,17.0
SR 401,Bintulu-Sibu,Sarawak,2023,11820,51.0
SR 402,Bintulu-Miri,Sarawak,2023,10517,56.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2023,7518,65.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2023,5555,71.0
SR 504,Lawas-Trusan,Sarawak,2023,7140,66.0
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2024,17150,37.0
AR 204,Ipoh-Lumut,Perak,2024,18131,35.0
AR 301,Ipoh-Kampar,Perak,2024,19898,33.0
AR 303,Sitiawan-Gopeng,Perak,2024,71239,6.0
AR 501,Ipoh-Kuala Kangsar,Perak,2024,19418,34.0
AR 601,Ipoh-Butterworth,Perak,2024,20959,27.0
AR 603,Sitiawan-Taiping,Perak,2024,2412,77.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2024,15032,39.0
AR 801,Kuala Kangsar-Baling,Perak,2024,6340,69.0
AR 803,Lebuhraya Timur-Barat,Perak,2024,2409,78.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2024,57542,8.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2024,112543,3.0
BR 203,Klang-Morib-Batu Laut,Selangor,2024,6532,68.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2024,27392,19.0
BR 501,Klang-Sabak Bernam,Selangor,2024,26917,20.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2024,52402,9.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2024,13799,42.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2024,142247,2.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2024,20238,32.0
CR 403,Kuantan-Maran,Pahang,2024,30699,17.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2024,20360,29.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2024,9781,55.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2024,11904,48.0
CR 801,Kuantan-Karak,Pahang,2024,13411,44.0
CR 805,Kuantan-Maran,Pahang,2024,6724,67.0
CR 902,Kuantan-Segamat,Pahang,2024,9406,58.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2024,20790,28.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2024,7564,63.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2024,23327,24.0
JR 102,Batu Pahat-Muar,Johor,2024,26322,21.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2024,20290,30.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2024,11356,51.0
JR 204,Jalan Skudai,Johor,2024,101669,4.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2024,31654,15.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2024,14175,41.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2024,29715,18.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2024,23714,23.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2024,8081,61.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2024,4800,74.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2024,20287,31.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2024,6915,65.0
KR 202,Alor Star-Jitra,Kedah,2024,42998,12.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2024,14517,40.0
KR 501,Alor Setar-Sungai Petani,Kedah,2024,11819,50.0
MR 206,Jalan Melaka-Muar,Melaka,2024,15470,38.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2024,13045,46.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2024,21905,25.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2024,9515,57.0
NR 403,Seremban-Tampin,Negeri Sembilan,2024,13361,45.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2024,9603,56.0
NR 505,Seremban-Gemas,Negeri Sembilan,2024,51948,10.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2024,39000,13.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2024,31556,16.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2024,64007,7.0
RR 106,Kangar-Alor Star,Perlis,2024,21288,26.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2024,17390,36.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2024,24480,22.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2024,5322,71.0
TR 402,K. Terengganu-Marang,Terengganu,2024,35742,14.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2024,9293,59.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2024,82459,5.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2024,160061,1.0
HR 103,KK-Sepulut Highway,Sabah,2024,4177,76.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2024,4419,75.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2024,5475,70.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2024,4979,73.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2024,13668,43.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2024,11168,52.0
HR 504,Sg. Segama Crossing,Sabah,2024,6906,66.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2024,7956,62.0
HR 507,Kunak-Lahad Datu,Sabah,2024,9176,60.0
SR 101,Bau-Semantan,Sarawak,2024,4991,72.0
SR 103,Kuching-Serian,Sarawak,2024,51605,11.0
SR 401,Bintulu-Sibu,Sarawak,2024,7204,64.0
SR 402,Bintulu-Miri,Sarawak,2024,11931,47.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2024,10163,54.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2024,11895,49.0
SR 504,Lawas-Trusan,Sarawak,2024,10301,53.0
